Date,Scheme Name,Store Name,Item Name,Member Account Code,Invoice,Sales Qty,Sales Amt
5/22/2021,MEMBER,TIFFANY - TTP,SS PINK MN RTT 2HRT PDT16-28751249,60084740,000000P105000000042,1,5416000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18R DI 13 CROWN KEY-25460979,20002141,000000P105000000043,1,83041000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18R PENDANT CHAIN 18IN-25508335,20002141,000000P105000000043,1,8666000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18RDI RD MN SGLRW SLST ER-60987491,20002141,000000P105000000043,1,67697000.00
5/22/2021,MEMBER,TIFFANY - TTP,18R DI TCO 3MM RG 6-27897908,60084741,000000P105000000044,1,35203000.00
5/22/2021,MEMBER,TIFFANY - TTP,18R TCO 4MM RG 9-35249907,60084741,000000P105000000044,1,34300000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18W DI MD ATLPRCDRG 7-35102272,60084742,000000P105000000045,1,43326000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18W DI MD ATLPRCDRG 8-35102256,60084742,000000P105000000045,1,43326000.00
5/22/2021,MEMBER,TIFFANY - TTP,SS RTT HRT TAG BLT 7 5IN-18967529,60084743,000000P105000000046,1,12366000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18Y GRAFFITI X MN ER-60962316,09000030,000000P105000000047,1,13630000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18R T SMILE ER-36667249,22000398,000000P105000000048,1,22566000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18R T SMILE PDT LG 1618IN-33637152,22000398,000000P105000000048,1,36105000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18R SM 1837INTLK PDT16IN-35672087,22000031,000000P105000000049,1,48742000.00
5/23/2021,MEMBER,TIFFANY - TTP,MD SQ JWLRY CASE LEA TFBL-60883300,60084744,000000P105000000050,1,8124000.00
5/23/2021,MEMBER,TIFFANY - TTP,18R SM LVG HEART PDT16IN-34614598,60084747,000000P105000000051,1,24371000.00
5/23/2021,MEMBER,TIFFANY - TTP,18Y SM LVG HEART PDT16IN-34595828,60084747,000000P105000000052,1,24371000.00
